urn,name,la_name,type,phase,gender,status,admissions_policy,religious_character,easting,northing,lineage,lineage_open_date,grade_2020,grade_2020_published,grade_2020_urn,comparator_urns,comparator_names,comparator_dist_m,comparator_grades,comparator_median,first_fail,all_fails,research_candidate
100849,St Saviour's and St Olave's Church of England School,Southwark,Voluntary aided school,Secondary,Girls,Open,Non-selective,Church of England,532857.0,179036.0,100849,1677-09-21,1.0,2009-03-17,100849,135584;140221;135315,Ark Globe Academy;South Bank University Academy;Ark Walworth Academy,248;717;1012,2;2;2,2.0,C1: type Voluntary aided school,"C1: type Voluntary aided school | C2 (GIAS): Non-selective, religious character Church of England",False
131812,The Charter School,Southwark,Foundation school,Secondary,Mixed,Closed,Non-selective,None,532849.0,174779.0,131812 < 100845,1677-09-21,1.0,2009-11-24,131812,136298;142178;135389,The Charter School North Dulwich;The Charter School East Dulwich;Ark Evelyn Grace Academy,0;685;1139,1;2;2,2.0,C1: closed 2010-08-31,C1: closed 2010-08-31,False
139587,The Charter School Bermondsey,Southwark,Free schools,Secondary,Mixed,Open,Non-selective,None,534581.0,179309.0,139587,2013-09-02,2.0,2017-06-12,139587,138961;131747;134222,St Michael's Catholic College;Harris Academy Bermondsey;City of London Academy (Southwark),553;691;889,1;1;2,1.0,C3: grade 2 not better than comparator median 1.0,C3: grade 2 not better than comparator median 1.0,False
142178,The Charter School East Dulwich,Southwark,Free schools,Secondary,Mixed,Open,Non-selective,None,533449.0,175109.0,142178,2016-09-12,2.0,2018-11-20,142178,136298;135816;134225,The Charter School North Dulwich;Harris Boys' Academy East Dulwich;Harris Academy Peckham,685;1087;1565,1;1;2,1.0,C1: opened 2016-09-12,C1: opened 2016-09-12 | C3: grade 2 not better than comparator median 1.0,False
100857,The St Thomas the Apostle College,Southwark,Voluntary aided school,Secondary,Boys,Open,Non-selective,Roman Catholic,535096.0,176433.0,100857,1677-09-21,1.0,2018-12-16,100857,135073;134225;132711,Haberdashers' Hatcham College;Harris Academy Peckham;Harris Girls' Academy East Dulwich,948;1257;1476,2;2;1,2.0,C1: type Voluntary aided school,"C1: type Voluntary aided school | C2 (GIAS): Non-selective, religious character Roman Catholic",False
100843,Walworth School,Southwark,Community school,Secondary,Mixed,Closed,Non-selective,Does not apply,533441.0,178209.0,100843,1677-09-21,,,,135315;140221;131747,Ark Walworth Academy;South Bank University Academy;Harris Academy Bermondsey,0;691;907,2;2;1,2.0,C1: closed 2007-08-31,C1: closed 2007-08-31 | C3: no grade in force on 2020-01-01,False
100848,Warwick Park School,Southwark,Community school,Secondary,Mixed,Closed,Non-selective,Does not apply,533853.0,176621.0,100848,1677-09-21,,,,134225;100857;142178,Harris Academy Peckham;The St Thomas the Apostle College;The Charter School East Dulwich,0;1257;1565,2;1;2,2.0,C1: closed 2003-08-31,C1: closed 2003-08-31 | C3: no grade in force on 2020-01-01,False
100846,Waverley School,Southwark,Community school,Secondary,Girls,Closed,Non-selective,Does not apply,535230.0,174963.0,100846,1677-09-21,,,,132711;135816;135073,Harris Girls' Academy East Dulwich;Harris Boys' Academy East Dulwich;Haberdashers' Hatcham College,0;718;1400,1;1;2,1.0,C1: closed 2006-08-31,C1: closed 2006-08-31 | C3: no grade in force on 2020-01-01,False
102998,Carshalton Boys Sports College,Sutton,Community school,Secondary,Boys,Closed,Non-selective,Does not apply,527120.0,165871.0,102998,1677-09-21,2.0,2008-10-15,102998,136799;136800;136797,Carshalton Boys Sports College;Greenshaw High School;Carshalton High School for Girls,0;592;975,2;2;2,2.0,C1: closed 2011-05-31,C1: closed 2011-05-31 | C3: grade 2 not better than comparator median 2.0,False
136799,Carshalton Boys Sports College,Sutton,Academy converter,Secondary,Boys,Open,Non-selective,Does not apply,527120.0,165871.0,136799 < 102998,1677-09-21,2.0,2013-07-03,136799,136800;136797;103013,Greenshaw High School;Carshalton High School for Girls;St Philomena's Catholic High School for Girls,592;975;1531,2;2;1,2.0,C3: grade 2 not better than comparator median 2.0,C3: grade 2 not better than comparator median 2.0,False
