spec,pct,pct_low,pct_high,p,n
main (pre-registered),1.8376600307686526,-3.469910001863869,7.437059270768977,0.4696890825042038,62196
boundary x octant FE,2.94339459634389,0.3006548266213982,5.655765750851908,0.03195828662388089,62196
"main, without Coombe Girls'",-0.4374035727522391,-2.6190951302503027,1.7931659250198924,0.6687095584752017,58098
"boundary x octant FE, without Coombe Girls'",2.2224975242232814,-0.15669482165276058,4.658384269474063,0.06422287587074132,58098
Coombe Girls' alone,27.81374693083255,11.511706228475257,46.49900406893166,0.00044846820549439466,4098
"Coombe Girls' alone, octant FE",11.087241018561292,2.8790582301675873,19.95031184584964,0.007360264524267289,4098
