boundary_id,school,n,log_price_jump,log_price_p,log_price_mean_in,log_price_mean_out,is_flat_jump,is_flat_p,is_flat_mean_in,is_flat_mean_out,is_detached_jump,is_detached_p,is_detached_mean_in,is_detached_mean_out,is_leasehold_jump,is_leasehold_p,is_leasehold_mean_in,is_leasehold_mean_out,is_new_build_jump,is_new_build_p,is_new_build_mean_in,is_new_build_mean_out,imd19_rank_jump,imd19_rank_p,imd19_rank_mean_in,imd19_rank_mean_out,dist_station_m_jump,dist_station_m_p,dist_station_m_mean_in,dist_station_m_mean_out
100190,Thomas Tallis School,6881,0.006320947739789962,0.9199060107294729,13.064025637428937,13.085591381146708,0.008320850595360287,0.9182997378869433,0.4267449896337249,0.44795585653373465,-0.007227421262872275,0.6295331470237586,0.043538355217691775,0.026837220968146475,-0.01246662398295834,0.8806425767449756,0.44367657221838286,0.4705292199648859,-0.01601681200060383,0.7009733702998718,0.006910850034554251,0.020316027088036117,153.58854543053323,0.8899744127337689,15376.438838977194,15263.890142964636,50.932995092764244,0.6054931354983208,835.4487186162958,658.0955745348325
102239,Whitmore High School,3502,0.024909965649583955,0.7747143788486582,12.92107704156544,12.948884236797985,-0.13842496184215097,0.18488750257637454,0.5232558139534884,0.610813704496788,0.03639684751243572,0.08977862107159917,0.05263157894736842,0.04978586723768737,-0.14506632676960823,0.16250146176851957,0.5385556915544676,0.6236616702355461,-0.0849450955301066,0.40857007167035075,0.07099143206854346,0.27890792291220556,1357.8292005305561,0.2614189831010521,20134.842717258263,20702.112419700214,-138.83993111560108,0.01827467569223685,472.88721946327314,428.5216268830401
102673,Ricards Lodge High School,13667,0.0046036663448023735,0.9206238466915904,13.297534379575438,13.25750658934713,0.0015004008223594245,0.9796989837286443,0.5335689045936396,0.5921247144201048,0.017299581924301265,0.08552757430447519,0.0184709283649213,0.011557586345921246,0.00693075515582542,0.9073701474263169,0.5446514616125924,0.605698158849617,-0.03809922751038777,0.3213889190348905,0.05284291680051397,0.07391479639833355,1542.8510062223631,0.05722175525889573,20318.1056858336,17143.42978094342,70.64371555718466,0.2798384332279641,683.0360600153048,672.0571611166221
102679,Rutlish School,7367,-0.01055158625595135,0.8446391715792585,13.203465077447378,13.066136430510161,-0.08702428600790332,0.2853312516659156,0.34137548530227396,0.43844722148364795,-0.02003991482189676,0.3554577674910029,0.059900166389351084,0.05610210050518479,-0.07609753078522748,0.37035960838249293,0.35856905158069885,0.44988035097048656,0.009008065537638391,0.5799599626950815,0.026622296173044926,0.046264291411858546,-1316.522355592407,0.23826719870364543,20947.671103716028,19466.735974474872,-40.195680824335305,0.5455734515620576,615.6829942784598,706.9920751015095
103103,Walthamstow School for Girls,7586,-0.02134272247403723,0.539905445866155,13.066473840541295,13.03237651485037,-0.08222053754546707,0.39219769721872255,0.4904204364023417,0.4498432601880878,-9.443094641627646e-05,0.9755586972188448,0.0037253858435337944,0.006269592476489028,-0.08726356831219217,0.38746091425707085,0.5154337413517829,0.4892894461859979,0.047773488004830965,0.376629064947843,0.072645023948909,0.01619644723092999,525.3665586758176,0.6564816740159065,12003.83262373603,11424.581504702195,-5.6708487182428975,0.9527563121306025,688.3924994487377,780.3504324035271
136711,Queensmead School,3244,-0.008563501503846882,0.7405731287570865,13.028021801538838,12.981710733197177,-0.09287574325488913,0.06541339507791183,0.15128383067314366,0.2096505823627288,-0.007525865098226684,0.5822802759299881,0.015267175572519083,0.019966722129783693,-0.08536043443071303,0.11959561950889117,0.16308119361554477,0.22407099278979478,0.003400621093363852,0.5341406412645477,0.011103400416377515,0.005546311702717693,1075.9898444158302,0.5073451522660863,21145.256072172102,19867.85690515807,4.587812806782232,0.9283517997063107,768.104456781663,620.3182388530948
137060,Tolworth Girls' School and Sixth Form,5976,0.06953192506548994,0.22185528161248938,13.264862741117748,13.253978657939177,-0.12867244811964407,0.228939968344791,0.36564019448946516,0.2794880664130059,0.038793974295347824,0.5332198079335743,0.24051863857374392,0.21584226911103424,-0.18191120546228295,0.09406585036279849,0.3747163695299838,0.29539951573849876,-0.05104417227700056,0.10402787205456898,0.015883306320907616,0.030439294361812523,614.6832578607002,0.4361013845338313,28709.334521880064,27473.857834659288,-42.60426202449663,0.6211243504430246,779.2986269044828,749.6410317335324
137197,Hall Mead School,2288,-0.09660951348327179,0.09693608308842183,13.185586294567816,13.059157337311634,0.012316034700153258,0.9099152197556235,0.08108108108108109,0.23300970873786409,-0.0390160992311427,0.7089094468265463,0.2273449920508744,0.24951456310679612,0.011754328178563273,0.9166185039170163,0.08823529411764706,0.23689320388349513,-0.005180212005819335,0.2045489443991072,0.00794912559618442,0.0,-931.0873718567341,0.5037929944656978,26285.029411764706,24656.063106796115,-32.05747661209723,0.8042726894445665,967.008456393641,892.8654195758146
137531,Alexandra Park School,3165,0.05756696296758328,0.45649415639609947,13.453757360599884,13.208055942145837,0.126752842495129,0.11324163443042116,0.4862595419847328,0.6150943396226415,-0.005666826498572647,0.6505454854706094,0.03206106870229008,0.011320754716981131,0.10022323733634786,0.22846281967088575,0.5091603053435114,0.6274932614555256,0.006536371874291543,0.12135343002402395,0.0007633587786259542,0.03018867924528302,2133.0016975980834,0.059718625318706954,21842.17328244275,17493.919137466306,129.0239494974909,0.3219154488508622,1087.287988286743,916.804431676555
137635,Vyners School,3139,-0.03506313949285213,0.43609020495837714,13.09633412021779,12.96315536775294,-0.2547477403948061,0.04615878201197333,0.2665673864482502,0.5267260579064588,0.08426731602450308,0.3014043043373533,0.24274013402829486,0.09743875278396437,-0.2521726605793343,0.049096897515670375,0.27475800446760984,0.5328507795100222,0.012042167375639819,0.8762044703783106,0.08339538346984364,0.31403118040089084,4308.5093106048425,0.00786667139385215,24512.63067758749,20920.70768374165,-36.98001183090455,0.6359456283125913,622.920221023993,606.8003961662251
