boundary_id,tau,se,ci_low,ci_high,p_value,df_inference,n_obs,n_inside,n_outside,n_clusters,bandwidth_m,cutoff_m,donut_m,poly,p_wild_bootstrap,median_price_outside,label,pct,pct_low,pct_high
100190,0.006320947739789962,0.0628427610078222,-0.11703337755673922,0.12967527303631915,0.9199060107294729,808,6881,2894,3987,809,400.0,0.0,0.0,1,,450000.0,100190,0.6340967088145075,-11.044449852132715,13.845863507841303
102239,0.024909965649583955,0.08698763412854153,-0.14597888930114833,0.19579882060031623,0.7747143788486582,522,3502,1634,1868,523,400.0,0.0,0.0,1,,426500.0,102239,2.5222811099152604,-13.582405364976266,21.62821897984896
102673,0.0046036663448023735,0.04619042439482331,-0.08601155996880852,0.09521889265841327,0.9206238466915904,1311,13667,6226,7441,1312,400.0,0.0,0.0,1,,537000.0,102673,0.4614279496929888,-8.241637607923066,9.989958872269646
102679,-0.01055158625595135,0.053827421006681635,-0.11621045054628777,0.09510727803438508,0.8446391715792585,804,7367,3606,3761,805,400.0,0.0,0.0,1,,425000.0,102679,-1.0496113549479782,-10.971215798178822,9.97768306945554
103103,-0.02134272247403723,0.034800888973926476,-0.08967865172097535,0.04699320677290088,0.539905445866155,649,7586,3758,3828,650,400.0,0.0,0.0,1,,477000.0,103103,-2.111657827438067,-8.577507732176056,4.811488897300466
136711,-0.008563501503846882,0.025849790336956075,-0.05935184123123622,0.042224838223542456,0.7405731287570865,497,3244,1441,1803,498,400.0,0.0,0.0,1,,461000.0,136711,-0.8526939166490511,-5.762485561020093,4.312898765500259
137060,0.06953192506548994,0.05687055188119555,-0.0421141774156244,0.18117802754660428,0.22185528161248938,743,5976,3085,2891,744,400.0,0.0,0.0,1,,572000.0,137060,7.200628452931629,-4.123969445107499,19.86285491996795
137197,-0.09660951348327179,0.05800138303327225,-0.21079821944103216,0.01757919247448858,0.09693608308842183,272,2288,1258,1030,273,400.0,0.0,0.0,1,,465000.0,137197,-9.20895362822068,-19.00625199686268,1.7734615882115599
137531,0.05756696296758328,0.07722979349398411,-0.09428686264009174,0.2094207885752583,0.45649415639609947,378,3165,1310,1855,379,400.0,0.0,0.0,1,,500000.0,137531,5.925619921844282,-8.997832642555696,23.296370643079623
137635,-0.03506313949285213,0.04496460838876749,-0.12352778644285181,0.05340150745714756,0.43609020495837714,319,3139,1343,1796,320,400.0,0.0,0.0,1,,427250.0,137635,-3.4455549654012665,-11.620291667425704,5.485309148765747
137848,0.2454039161394949,0.06944317684859198,0.10895938799735577,0.381848444281634,0.00044846820549439466,488,4098,2107,1991,489,400.0,0.0,0.0,1,,600000.0,137848,27.81374693083255,11.511706228475257,46.49900406893166
143428,0.03699585747607285,0.04297312445984154,-0.04782326383905821,0.1218149787912039,0.39048093340593326,173,1283,571,712,174,400.0,0.0,0.0,1,,375000.0,143428,3.7688722178892866,-4.669774482933977,12.954509264692241
